fighter_name,sex,birth_date,age,status,death_date,location,country,height,weight,weight_class,wins,wins_ko,wins_submission,wins_decision,wins_other,losses,losses_ko,losses_submission,losses_decision,losses_other,draws,pro_mma,pro_boxing,pro_kickboxing,pro_muay_thai,pro_karate,pro_taekwondo,pro_wrestling,pro_bjj,pro_judo,pro_sambo,win_loss_ratio
Aaron Vickers,Male,1990-12-28,35.0,Active,,England/United Kingdom,United Kingdom,"6'0""",155,Lightweight,4,2,0,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.8
Aaron Webb,Male,1987-09-14,38.0,Active,,Ohio/United States,United States,"5'9""",145,Featherweight,6,2,2,2,0,5,2,1,2,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Aaron Wilkinson,Male,1987-02-11,39.0,Active,,England/United Kingdom,United Kingdom,"5'10""",170,Welterweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Aaron Wise,Male,1991-06-24,34.0,Active,,California/United States,United States,"6'0""",185,Middleweight,3,2,0,1,0,2,1,0,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Abdul Aziz Calim,Male,1986-09-08,39.0,Active,,Indonesia,Indonesia,"5'8""",145,Featherweight,6,3,1,2,0,5,2,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Abdul Razak Alhassan,Male,1985-03-11,40.0,Active,,Kumasi/Ghana,Ghana,"5'10""",170,Welterweight,13,11,0,2,0,6,4,0,2,0,0,True,False,False,False,False,False,False,False,False,False,1.8571428571428572
Abdul-Kerim Edilov,Male,1992-05-01,33.0,Deceased,2022-12-18,Dagestan/Russia,Russia,"6'3""",205,Light Heavyweight,8,4,3,1,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.6
Abdulbasir Vagabov,Male,1994-07-19,31.0,Active,,Dagestan/Russia,Russia,"5'11""",155,Lightweight,7,2,3,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.75
Abe Wagner,Male,1988-10-27,37.0,Active,,Illinois/United States,United States,"6'1""",185,Middleweight,5,3,1,1,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Abe Wilson,Male,1990-04-15,35.0,Active,,Texas/United States,United States,"5'9""",155,Lightweight,4,2,0,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Abel Trujillo,Male,1983-01-14,43.0,Active,,Wisconsin/United States,United States,"5'10""",155,Lightweight,14,12,1,1,0,8,4,2,2,0,0,True,False,False,False,False,False,False,False,False,False,1.5555555555555556
Abner Lloveras,Male,1986-12-13,39.0,Active,,Catalonia/Spain,Spain,"5'8""",145,Featherweight,20,6,5,9,0,9,2,3,4,0,0,True,False,False,False,False,False,False,False,False,False,2.0
Abner Perez,Male,1991-08-22,34.0,Active,,Mexico,Mexico,"5'9""",145,Featherweight,6,3,2,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.5
Abraham Vaesau,Male,1986-02-11,40.0,Active,,Hawaii/United States,United States,"5'10""",155,Lightweight,5,2,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Abrou Fernandes,Male,1989-06-30,36.0,Active,,Brazil,Brazil,"5'8""",135,Bantamweight,7,2,3,2,0,4,1,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.4
Abu Azaitar,Male,1986-01-22,40.0,Active,,Cologne/Germany,Germany,"5'9""",170,Welterweight,14,9,3,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,3.5
Abubakar Nurmagomedov,Male,1989-04-01,36.0,Active,,Dagestan/Russia,Russia,"5'11""",170,Welterweight,17,2,9,6,0,4,0,2,2,0,0,True,False,False,False,False,False,False,False,False,False,3.4
Abumuslim Alikhanov,Male,1995-11-03,30.0,Active,,Dagestan/Russia,Russia,"6'1""",185,Middleweight,9,3,4,2,0,2,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,3.0
Achmad Eko Priandono,Male,1990-05-17,35.0,Active,,Indonesia,Indonesia,"5'7""",145,Featherweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Acoidan Duque,Male,1988-09-09,37.0,Active,,Cuba,Cuba,"5'6""",135,Bantamweight,5,2,2,1,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adam Antolin,Male,1987-12-14,38.0,Active,,Texas/United States,United States,"5'11""",170,Welterweight,6,3,1,2,0,5,2,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adam Borics,Male,1993-09-17,32.0,Active,,Budapest/Hungary,Hungary,"5'10""",145,Featherweight,18,7,6,5,0,3,0,1,2,0,0,True,False,False,False,False,False,False,False,False,False,4.5
Adam Cella,Male,1984-02-06,42.0,Active,,Ontario/Canada,Canada,"6'1""",205,Light Heavyweight,11,9,1,1,0,9,6,1,2,0,0,True,False,False,False,False,False,False,False,False,False,1.1
Adam Gustab,Male,1992-11-18,33.0,Active,,Sweden,Sweden,"5'11""",170,Welterweight,6,2,2,2,0,4,1,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.2
Adam Keresh,Male,1989-07-09,36.0,Active,,Poland,Poland,"5'10""",155,Lightweight,5,2,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.25
Adam Maciejewski,Male,1990-03-27,35.0,Active,,Poland,Poland,"6'0""",170,Welterweight,7,3,2,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.4
Adam McDonough,Male,1991-01-15,35.0,Active,,Ireland,Ireland,"5'9""",145,Featherweight,4,1,2,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adam Meredith,Male,1985-04-18,40.0,Active,,Utah/United States,United States,"6'2""",205,Light Heavyweight,5,3,1,1,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adam Milstead,Male,1988-06-21,37.0,Active,,Virginia/United States,United States,"6'4""",265,Heavyweight,8,6,2,0,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.6
Adam Piccolotti,Male,1988-05-30,37.0,Active,,California/United States,United States,"5'8""",145,Featherweight,15,2,9,4,0,6,1,3,2,0,0,True,False,False,False,False,False,False,False,False,False,2.142857142857143
Adam Schindler,Male,1990-10-02,35.0,Active,,Germany,Germany,"5'11""",170,Welterweight,6,2,2,2,0,5,2,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adam Shahir Kayoom,Male,1993-08-12,32.0,Active,,Singapore,Singapore,"5'7""",145,Featherweight,3,1,1,1,0,2,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adam Snook,Male,1986-06-03,40.0,Active,,England/United Kingdom,United Kingdom,"6'0""",170,Welterweight,5,2,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adam Ward,Male,1989-09-14,36.0,Active,,Ohio/United States,United States,"5'10""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adam Wieczorek,Male,1992-01-08,34.0,Active,,Szczecin/Poland,Poland,"6'3""",265,Heavyweight,10,5,2,3,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,2.5
Adam Yandiev,Male,1987-07-20,38.0,Active,,Ingushetia/Russia,Russia,"5'11""",170,Welterweight,9,4,3,2,0,2,0,1,1,0,0,True,False,False,False,False,False,False,False,False,False,3.0
Adek Omar,Male,1994-11-02,31.0,Active,,Malaysia,Malaysia,"5'8""",145,Featherweight,3,1,1,1,0,2,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adel Altamimi,Male,1989-03-15,37.0,Active,,Saudi Arabia,Saudi Arabia,"5'9""",170,Welterweight,4,2,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adi Nugroho,Male,1991-05-22,35.0,Active,,Indonesia,Indonesia,"5'7""",145,Featherweight,5,2,1,2,0,4,1,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adi Paryanto,Male,1990-08-11,35.0,Active,,Indonesia,Indonesia,"5'6""",135,Bantamweight,4,1,2,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adib Sulaiman,Male,1988-12-04,37.0,Active,,Malaysia,Malaysia,"5'8""",155,Lightweight,6,2,2,2,0,5,2,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adil Benjilany,Male,1993-02-19,33.0,Active,,Morocco,Morocco,"5'10""",170,Welterweight,5,3,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.25
Adin Duenas,Male,1992-04-10,33.0,Active,,California/United States,United States,"5'8""",145,Featherweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adlan Amagov,Male,1986-05-30,39.0,Active,,Grozny/Chechnya/Russia,Russia,"6'0""",170,Welterweight,14,3,9,2,0,2,0,1,1,0,0,True,False,False,False,False,False,False,False,False,False,4.666666666666667
Adrian Cruz,Male,1993-09-18,32.0,Active,,Texas/United States,United States,"5'10""",155,Lightweight,5,2,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adrian Hadribeaj,Male,1989-06-17,36.0,Active,,Tirana/Albania,Albania,"6'2""",205,Light Heavyweight,7,4,2,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.75
Adrian Haley,Male,1991-02-05,35.0,Active,,England/United Kingdom,United Kingdom,"5'11""",170,Welterweight,6,3,1,2,0,5,2,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adrian Henderson,Male,1987-11-22,38.0,Active,,Scotland/United Kingdom,United Kingdom,"6'0""",155,Lightweight,4,1,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.8
Adrian Mattheis,Male,1994-07-08,31.0,Active,,Germany,Germany,"5'9""",145,Featherweight,5,2,2,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.25
Adrian Miles,Male,1985-03-19,40.0,Active,,California/United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.6
Adrian Najera,Male,1992-12-14,33.0,Active,,Mexico,Mexico,"5'8""",135,Bantamweight,6,2,2,2,0,5,2,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adrian Pang,Male,1980-08-19,45.0,Active,,Singapore,Singapore,"5'7""",170,Welterweight,16,3,9,4,0,6,2,2,2,0,0,True,False,False,False,False,False,False,False,False,False,2.2857142857142856
Adrian Serrano,Male,1990-01-18,36.0,Active,,California/United States,United States,"5'8""",135,Bantamweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adrian Yanez,Male,1993-11-25,32.0,Active,,Houston/Texas/United States,United States,"5'7""",135,Bantamweight,17,12,1,4,0,5,1,1,3,0,0,True,False,False,False,False,False,False,False,False,False,2.8333333333333335
Adriano Martins,Male,1982-02-07,44.0,Active,,Manaus/Brazil,Brazil,"5'8""",155,Lightweight,29,8,13,8,0,12,5,2,5,0,0,True,False,False,False,False,False,False,False,False,False,2.230769230769231
Adriano Moraes,Male,1989-03-20,36.0,Active,,Brasilia/Brazil,Brazil,"5'8""",135,Bantamweight,16,4,8,4,0,6,2,1,3,0,0,True,False,False,False,False,False,False,False,False,False,2.2857142857142856
Adriano Santos,Male,1985-08-14,40.0,Active,,Rio de Janeiro/Brazil,Brazil,"5'10""",170,Welterweight,6,2,2,2,0,5,2,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Adrienna Jenkins,Female,1994-06-11,31.0,Active,,United States,United States,"5'6""",125,Strawweight,2,0,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.5
Adrienne Seiber,Female,1991-09-03,34.0,Active,,Ohio/United States,United States,"5'7""",125,Strawweight,3,1,1,1,0,4,1,2,1,0,0,True,False,False,False,False,False,False,False,False,False,0.6
Agilan Thani,Male,1995-01-18,31.0,Active,,Kuala Lumpur/Malaysia,Malaysia,"5'11""",170,Welterweight,11,6,3,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,2.2
Agu Demu,Male,1988-04-27,37.0,Active,,Nigeria,Nigeria,"6'1""",205,Light Heavyweight,3,2,0,1,0,3,2,1,0,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Agus Nanang,Male,1992-10-06,33.0,Active,,Indonesia,Indonesia,"5'7""",145,Featherweight,5,2,1,2,0,4,1,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Ahmad Qais Jasoor,Male,1993-03-12,33.0,Active,,Afghanistan,Afghanistan,"5'9""",155,Lightweight,4,1,2,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Ahmed Faez Anuar,Male,1995-07-08,31.0,Active,,Kuala Lumpur/Malaysia,Malaysia,"5'8""",145,Featherweight,5,2,1,2,0,4,1,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Ahmed Faress,Male,1991-11-22,34.0,Active,,Egypt,Egypt,"5'10""",170,Welterweight,6,3,1,2,0,5,2,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Ahmed Mujtaba,Male,1992-01-15,34.0,Active,,Lahore/Pakistan,Pakistan,"5'8""",155,Lightweight,9,3,4,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,2.25
Ahmed White,Male,1988-06-04,37.0,Active,,Illinois/United States,United States,"5'11""",185,Middleweight,3,2,0,1,0,3,2,1,0,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Ahmet Kayretli,Male,1994-09-19,31.0,Active,,Turkey,Turkey,"6'0""",170,Welterweight,5,2,1,2,0,4,1,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Ahsan Abdullah,Male,1990-12-07,35.0,Active,,Pakistan,Pakistan,"5'7""",145,Featherweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Ahva Mayi,Male,1996-02-03,30.0,Active,,India,India,"5'6""",135,Bantamweight,3,1,1,1,0,2,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Ai Shimizu,Female,1993-05-28,33.0,Active,,Tokyo/Japan,Japan,"5'4""",115,Atomweight,6,1,3,2,0,4,1,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.2
Aiden Lee,Male,1998-08-14,27.0,Active,,England/United Kingdom,United Kingdom,"5'9""",155,Lightweight,5,2,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.25
Aiemann Zahabi,Male,1987-11-19,38.0,Active,,Laval/Quebec/Canada,Canada,"5'7""",135,Bantamweight,12,3,4,5,0,2,0,1,1,0,0,True,False,False,False,False,False,False,False,False,False,4.0
Ailinuer Ahejiang,Male,1995-03-04,31.0,Active,,Xinjiang/China,China,"5'10""",170,Welterweight,6,3,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.2
Ailton Barbosa,Male,1988-07-12,37.0,Active,,Brazil,Brazil,"5'8""",145,Featherweight,7,4,1,2,0,5,2,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.1666666666666667
Ainsley Robinson,Male,1992-09-21,33.0,Active,,England/United Kingdom,United Kingdom,"5'11""",170,Welterweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Aisling Daly,Female,1988-12-22,37.0,Active,,Dublin/Ireland,Ireland,"5'6""",115,Strawweight,16,3,8,5,0,7,2,2,3,0,0,True,False,False,False,False,False,False,False,False,False,2.0
Akbarh Arreola,Male,1990-06-18,35.0,Active,,Mexico,Mexico,"5'9""",155,Lightweight,5,2,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Akenbieke Ayijiake,Male,1994-10-09,31.0,Active,,China,China,"6'0""",170,Welterweight,4,2,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Akhmed Fararzha,Male,1989-01-27,37.0,Active,,Dagestan/Russia,Russia,"5'11""",155,Lightweight,6,2,3,1,0,4,1,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.2
Akihiro Fujisawa,Male,1986-05-14,39.0,Active,,Japan,Japan,"5'7""",145,Featherweight,8,2,4,2,0,6,2,2,2,0,0,True,False,False,False,False,False,False,False,False,False,1.1428571428571428
Akihiro Gono,Male,1974-10-31,51.0,Active,,Kanagawa/Japan,Japan,"5'7""",170,Welterweight,29,10,9,10,0,19,6,5,8,0,0,True,False,False,False,False,False,False,False,False,False,1.45
Akira Corassani,Male,1982-12-31,43.0,Active,,Stockholm/Sweden,Sweden,"5'10""",145,Featherweight,12,2,6,4,0,5,2,1,2,0,0,True,False,False,False,False,False,False,False,False,False,2.0
Akonne Wanliss,Male,1990-03-08,35.0,Active,,England/United Kingdom,United Kingdom,"5'9""",155,Lightweight,6,3,1,2,0,4,1,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.2
Akop Stepanyan,Male,1987-07-12,38.0,Active,,Yerevan/Armenia,Armenia,"5'10""",145,Featherweight,19,5,6,8,0,9,2,3,4,0,0,True,False,False,False,False,False,False,False,False,False,1.9
Akuri Ronda,Male,1993-05-19,32.0,Active,,Japan,Japan,"5'5""",115,Atomweight,4,1,2,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Al Iaquinta,Male,1987-04-30,38.0,Active,,Long Island/New York/United States,United States,"5'10""",155,Lightweight,14,6,1,7,0,7,3,0,4,0,0,True,False,False,False,False,False,False,False,False,False,1.75
Alaa Mazloum,Male,1994-01-07,32.0,Active,,Syria,Syria,"5'9""",145,Featherweight,4,2,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Alain Ngalani,Male,1975-07-07,50.0,Active,,Cameroon,Cameroon,"6'0""",265,Heavyweight,4,4,0,0,0,7,5,2,0,0,0,True,False,False,False,False,False,False,False,False,False,0.5
Alan Baudot,Male,1988-02-21,38.0,Active,,France,France,"6'3""",265,Heavyweight,7,6,0,1,0,4,3,1,0,0,0,True,False,False,False,False,False,False,False,False,False,1.4
Alan Belcher,Male,1984-04-17,41.0,Active,,Mississippi/United States,United States,"6'2""",185,Middleweight,18,8,7,3,0,8,3,2,3,0,0,True,False,False,False,False,False,False,False,False,False,2.0
Alan Benson,Male,1986-09-11,39.0,Active,,England/United Kingdom,United Kingdom,"5'11""",170,Welterweight,7,2,3,2,0,5,2,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.1666666666666667
Alan Jouban,Male,1982-11-25,43.0,Active,,Los Angeles/California/United States,United States,"5'11""",170,Welterweight,16,10,1,5,0,7,4,1,2,0,0,True,False,False,False,False,False,False,False,False,False,2.0
Alan Omer,Male,1988-03-17,38.0,Active,,Germany,Germany,"5'10""",145,Featherweight,11,4,3,4,0,6,2,2,2,0,0,True,False,False,False,False,False,False,False,False,False,1.5714285714285714
Alan Patrick,Male,1984-07-14,41.0,Active,,Brazil,Brazil,"5'8""",155,Lightweight,15,2,9,4,0,4,1,1,2,0,0,True,False,False,False,False,False,False,False,False,False,3.0
Alan Philpott,Male,1983-02-24,42.0,Active,,Northern Ireland/United Kingdom,United Kingdom,"5'7""",135,Bantamweight,16,5,6,5,0,11,4,3,4,0,0,True,False,False,False,False,False,False,False,False,False,1.3333333333333333
Alateng Burigede,Male,1992-03-29,34.0,Active,,Inner Mongolia/China,China,"5'6""",135,Bantamweight,16,6,2,8,0,9,3,1,5,0,0,True,False,False,False,False,False,False,False,False,False,1.6
Albert Cheng,Male,1991-06-06,35.0,Active,,China,China,"5'9""",155,Lightweight,5,2,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Albert Gonzales,Male,1987-10-12,38.0,Active,,Texas/United States,United States,"5'10""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Albert Morales,Male,1996-03-02,30.0,Active,,California/United States,United States,"5'10""",135,Bantamweight,12,4,2,6,0,6,2,1,3,0,0,True,False,False,False,False,False,False,False,False,False,1.7142857142857142
Albert Rios,Male,1990-05-09,35.0,Active,,Arizona/United States,United States,"5'8""",135,Bantamweight,5,2,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Albert Tumenov,Male,1991-01-07,35.0,Active,,Nalchik/Russia,Russia,"5'7""",170,Welterweight,24,11,0,13,0,4,2,0,2,0,0,True,False,False,False,False,False,False,False,False,False,4.8
Alberth Dias,Male,1992-08-18,33.0,Active,,Brazil,Brazil,"5'10""",155,Lightweight,6,2,2,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.2
Alberto Cerra Leon,Male,1989-04-14,37.0,Active,,Spain,Spain,"5'9""",145,Featherweight,7,3,2,2,0,5,2,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.1666666666666667
Alberto Correia,Male,1985-06-22,40.0,Active,,Portugal,Portugal,"5'11""",170,Welterweight,8,3,2,3,0,6,2,2,2,0,0,True,False,False,False,False,False,False,False,False,False,1.1428571428571428
Alberto Crane,Male,1976-07-31,49.0,Active,,California/United States,United States,"5'9""",155,Lightweight,23,4,17,2,0,6,1,3,2,0,0,True,False,False,False,False,False,False,False,False,False,3.2857142857142856
Alberto Emiliano Pereira,Male,1991-09-05,34.0,Active,,Brazil,Brazil,"5'8""",145,Featherweight,5,2,1,2,0,4,1,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Alberto Mina,Male,1990-04-03,35.0,Active,,Colombia,Colombia,"5'8""",155,Lightweight,12,1,9,2,0,2,0,1,1,0,0,True,False,False,False,False,False,False,False,False,False,4.0
